professor_id,gender,tenure,beauty,students,rating
51,Female,No,-0.65,68.0,4.87
52,Female,No,-0.49,81.0,3.71
53,Female,Yes,-0.59,63.0,3.77
54,Female,No,-0.86,76.0,3.85
55,Female,Yes,0.05,60.0,3.26
56,Female,Yes,-0.83,17.0,3.49
57,Male,No,0.27,43.0,3.45
58,Male,No,-0.05,44.0,3.58
59,Male,Yes,-0.24,97.0,3.98
60,Male,Yes,-0.91,87.0,4.13
61,Male,Yes,-0.58,41.0,4.85
62,Male,No,0.76,55.0,3.45
63,Female,No,0.5,25.0,4.54
64,Male,Yes,-0.98,77.0,3.88
65,Male,No,0.1,46.0,3.97
66,Male,No,0.75,63.0,4.37
67,Male,No,-1.67,94.0,3.38
68,Female,No,0.54,23.0,4.21
69,Male,Yes,-0.66,64.0,4.09
70,Female,No,0.57,57.0,4.27
71,Female,Yes,-0.76,91.0,4.16
72,Male,No,-1.8,16.0,5.0
73,Male,No,-1.63,83.0,3.65
74,Female,No,0.05,16.0,3.71
75,Female,Yes,0.26,42.0,3.66
76,Female,No,-0.9,32.0,3.69
77,Female,Yes,0.64,94.0,3.65
78,Male,Yes,-1.66,28.0,4.65
79,Male,No,-0.07,28.0,4.78
80,Male,No,-1.21,45.0,3.69
81,Female,No,-0.65,38.0,3.54
82,Female,No,0.05,69.0,4.26
83,Male,Yes,-0.86,91.0,3.7
84,Male,Yes,-0.38,11.0,4.35
85,Male,Yes,,10.0,4.11
86,Male,Yes,-0.58,56.0,3.17
87,Female,Yes,0.84,78.0,4.85
88,Female,Yes,-1.13,29.0,4.99
89,Female,No,0.53,20.0,3.66
90,Male,Yes,1.44,11.0,3.79
91,Male,Yes,-2.47,76.0,4.16
92,Female,No,-0.8,96.0,4.18
93,Female,Yes,0.58,21.0,4.36
94,Male,Yes,,29.0,5.0
95,Female,Yes,0.37,14.0,3.9
96,Male,Yes,-0.6,46.0,3.56
97,Male,No,0.09,47.0,3.24
98,Male,Yes,-0.16,18.0,3.6
99,Male,Yes,1.17,62.0,3.98
100,Male,Yes,0.25,53.0,4.99
101,Male,Yes,,95.0,3.72
102,Female,Yes,-0.41,33.0,4.12
103,Male,Yes,-0.49,90.0,3.99
104,Male,Yes,-0.43,83.0,4.65
105,Female,No,0.39,39.0,5.0
106,Male,No,-0.42,68.0,3.71
107,Male,Yes,0.29,96.0,3.73
108,Female,No,2.08,90.0,4.57
109,Male,No,0.87,90.0,4.38
110,Male,Yes,-0.33,23.0,5.0
111,Male,Yes,1.2,18.0,4.32
112,Male,Yes,-0.41,49.0,3.8
113,Female,No,-2.04,75.0,4.32
114,Female,No,-1.01,34.0,4.61
115,Female,Yes,-1.87,82.0,4.45
116,Female,Yes,-0.35,,4.28
117,Female,Yes,0.02,13.0,
118,Male,Yes,1.68,35.0,4.64
119,Female,No,0.33,67.0,4.76
120,Male,Yes,-0.22,38.0,4.36
121,Female,No,0.83,96.0,3.91
122,Female,Yes,-2.21,46.0,4.08
123,Male,Yes,0.24,84.0,4.66
124,Male,Yes,0.77,79.0,3.55
125,Male,No,-1.48,27.0,4.2
126,Male,No,1.14,94.0,3.78
127,Female,Yes,0.34,51.0,4.02
128,Female,Yes,-0.42,50.0,4.7
129,Male,Yes,0.63,47.0,4.11
130,Male,Yes,2.27,43.0,4.03
131,Male,Yes,0.18,26.0,3.25
132,Male,No,0.25,46.0,4.41
133,Male,Yes,-0.46,34.0,4.36
134,Male,Yes,-0.85,85.0,5.0
135,Female,No,0.83,96.0,3.83
136,Male,Yes,-0.86,95.0,4.12
137,Male,No,0.07,94.0,4.14
138,Female,Yes,-0.48,36.0,4.87
139,Male,Yes,0.48,,3.95
140,Female,Yes,0.33,40.0,
141,Female,No,1.04,15.0,4.33
142,Male,Yes,-0.51,100.0,4.1
143,Male,Yes,-0.27,49.0,3.75
144,Male,Yes,-0.98,21.0,4.11
145,Male,Yes,-0.44,62.0,4.59
146,Male,Yes,0.38,80.0,3.44
147,Female,Yes,0.76,19.0,4.07
148,Male,Yes,-0.92,54.0,3.61
149,Male,Yes,0.87,26.0,4.66
150,Male,Yes,1.36,35.0,3.16
151,Female,Yes,0.41,94.0,3.69
152,Male,No,1.88,71.0,4.21
153,Male,Yes,-0.77,55.0,4.86
154,Male,Yes,-1.24,73.0,3.96
155,Female,No,-1.78,11.0,3.69
156,Male,Yes,1.5,63.0,5.0
157,Female,Yes,0.65,74.0,3.2
158,Female,Yes,-0.06,60.0,2.79
159,Male,No,0.28,62.0,4.24
160,Female,No,-1.13,45.0,
161,Male,Yes,2.45,35.0,3.44
162,Female,Yes,0.13,38.0,4.39
163,Female,Yes,0.11,30.0,4.13
164,Male,Yes,0.73,20.0,3.69
165,Male,No,0.48,49.0,3.3
166,Female,No,0.22,20.0,4.48
167,Male,No,-0.79,45.0,4.36
168,Male,No,0.47,68.0,3.95
169,Male,Yes,1.88,48.0,5.0
170,Female,Yes,1.35,63.0,3.41
171,Female,Yes,1.59,64.0,3.16
172,Male,Yes,-0.51,33.0,3.62
173,Male,Yes,-0.99,31.0,3.97
174,Male,No,-0.13,78.0,4.13
175,Female,No,0.06,65.0,3.87
176,Male,Yes,1.09,42.0,4.19
177,Female,Yes,-1.69,45.0,3.31
178,Male,Yes,1.53,29.0,4.79
179,Female,Yes,-0.16,92.0,3.95
180,Male,Yes,-0.43,90.0,4.61
181,Male,Yes,-1.01,71.0,4.19
182,Male,No,-1.65,82.0,4.25
183,Female,Yes,0.82,35.0,4.31
184,Female,Yes,0.07,75.0,4.25
185,Male,No,-1.29,82.0,4.35
186,Female,Yes,-1.3,82.0,4.73
187,Female,Yes,-0.34,49.0,4.11
188,Male,Yes,1.67,26.0,4.39
189,Male,No,-0.26,10.0,3.95
190,Male,No,-1.5,98.0,4.79
191,Male,No,-0.25,70.0,3.63
192,Female,No,-0.27,52.0,4.99
193,Female,Yes,-2.5,51.0,3.98
194,Female,Yes,-0.05,34.0,3.21
195,Male,Yes,-0.23,48.0,4.07
196,Male,No,0.7,44.0,3.63
197,Female,No,1.85,12.0,4.46
198,Female,Yes,1.13,53.0,3.64
199,Female,Yes,-0.27,60.0,3.75
200,Female,Yes,-1.11,21.0,2.96
